gen,HV_norm,feasible_ratio_soft,feasible_ratio_strict,min_cost,min_makespan_h,vio_mean_miss_alloc,vio_mean_miss_tt,vio_mean_cap_excess,vio_mean_node_cap_excess,vio_mean_late_h,vio_mean_wait_h
65,0.54288,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,762.167044664057
66,0.54288,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,764.5685122759271
67,0.54288,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,761.132955077731
68,0.54288,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,756.5941020098655
69,0.54288,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,755.9127745749128
70,0.54648,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,764.928881376151
71,0.54648,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,765.1037387741607
72,0.54648,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,765.9863313431072
73,0.54648,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,771.5666298562988
74,0.54648,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,773.5273110708539
75,0.54936,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,770.6744821275176
76,0.54936,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,773.1269338663284
77,0.54936,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,776.9428715469229
78,0.54936,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,774.7426093515679
79,0.54936,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,771.5806018270242
80,0.55584,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,767.810044761294
81,0.55584,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,767.4391220900437
82,0.55584,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,764.2602254647264
83,0.55584,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,760.0918036419301
84,0.55584,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,759.6855813583567
85,0.58536,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,765.4288305061501
86,0.58536,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,763.5371075874535
87,0.58536,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,761.1908233688512
88,0.58536,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,762.4196793194658
89,0.58536,1.0,1.0,4281663.283402936,289.7991666666667,0.0,0.0,0.0,0.0,0.0,767.4803580291298
90,0.5889599999999999,1.0,1.0,4279223.970482635,289.7991666666667,0.0,0.0,0.0,0.0,0.0,775.3417322310399
91,0.5889599999999999,1.0,1.0,4279223.970482635,289.7991666666667,0.0,0.0,0.0,0.0,0.0,778.1893526657225
92,0.5889599999999999,1.0,1.0,4279223.970482635,289.7991666666667,0.0,0.0,0.0,0.0,0.0,780.2641650931358
93,0.5889599999999999,1.0,1.0,4279223.970482635,289.7991666666667,0.0,0.0,0.0,0.0,0.0,781.9557489111678
94,0.5889599999999999,1.0,1.0,4268066.630486296,289.7991666666667,0.0,0.0,0.0,0.0,0.0,771.30479134434
95,0.60768,1.0,1.0,4251683.234183732,289.7991666666667,0.0,0.0,0.0,0.0,0.0,776.7944694590528
96,0.60768,1.0,1.0,4251683.234183732,289.7991666666667,0.0,0.0,0.0,0.0,0.0,774.8802680165137
97,0.60768,1.0,1.0,4251683.234183732,289.7991666666667,0.0,0.0,0.0,0.0,0.0,771.4674482536968
98,0.60768,1.0,1.0,4242412.201770517,289.7991666666667,0.0,0.0,0.0,0.0,0.0,773.076438683349
99,0.60768,1.0,1.0,4242412.201770517,289.7991666666667,0.0,0.0,0.0,0.0,0.0,771.688994987601
100,0.65232,1.0,1.0,4238918.019134503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,761.2511747947949
101,0.65232,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,760.9873883587229
102,0.65232,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,750.9677071694972
103,0.65232,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,736.3242279259314
104,0.65232,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,722.1845315071756
105,0.68472,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,720.3992105072298
106,0.68472,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,720.3965678151878
107,0.68472,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,726.0272771736849
108,0.68472,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,725.7913587109623
109,0.68472,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,732.6022543258987
110,0.71424,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,732.4020392761945
111,0.71424,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,739.7114521730002
112,0.71424,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,735.8443184324266
113,0.71424,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,715.7603241980374
114,0.71424,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,724.5378419833472
115,0.72,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,729.5312841348525
116,0.72,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,735.9387782830661
117,0.72,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,752.48585584717
118,0.72,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,750.3693031100204
119,0.72,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,750.3800384612405
120,0.7221599999999999,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,750.2667076934987
121,0.7221599999999999,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,751.3952065892926
122,0.7221599999999999,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,753.1574587927379
123,0.7221599999999999,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,755.4842180856135
124,0.7221599999999999,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,751.4962258554262
125,0.72576,1.0,1.0,4214603.083930503,289.7991666666667,0.0,0.0,0.0,0.0,0.0,757.8582947506746
126,0.72576,1.0,1.0,4214581.835376447,289.7991666666667,0.0,0.0,0.0,0.0,0.0,757.7203672937748
127,0.72576,1.0,1.0,4213742.695434435,289.7991666666667,0.0,0.0,0.0,0.0,0.0,758.0335824579319
128,0.72576,1.0,1.0,4213626.72308478,289.7991666666667,0.0,0.0,0.0,0.0,0.0,760.2735077736315
129,0.72576,1.0,1.0,4212663.031466795,289.7991666666667,0.0,0.0,0.0,0.0,0.0,760.8551570637319
130,0.7279199999999999,1.0,1.0,4212663.031466795,289.7991666666667,0.0,0.0,0.0,0.0,0.0,753.9218707297362
131,0.7279199999999999,1.0,1.0,4212491.628498553,289.7991666666667,0.0,0.0,0.0,0.0,0.0,759.9053878534763
132,0.7279199999999999,1.0,1.0,4211918.2640509745,289.7991666666667,0.0,0.0,0.0,0.0,0.0,761.4815442963101
133,0.7279199999999999,1.0,1.0,4211918.2640509745,289.7991666666667,0.0,0.0,0.0,0.0,0.0,763.0598216453017
134,0.7279199999999999,1.0,1.0,4211918.2640509745,289.7991666666667,0.0,0.0,0.0,0.0,0.0,767.3123776376354
135,0.73008,1.0,1.0,4211918.2640509745,289.7991666666667,0.0,0.0,0.0,0.0,0.0,769.6234477852734
136,0.73008,1.0,1.0,4210661.345398349,289.7991666666667,0.0,0.0,0.0,0.0,0.0,774.7257359067288
137,0.73008,1.0,1.0,4210661.345398349,289.7991666666667,0.0,0.0,0.0,0.0,0.0,773.5454773406016
138,0.73008,1.0,1.0,4210661.345398349,289.7991666666667,0.0,0.0,0.0,0.0,0.0,774.142069026506
139,0.73008,1.0,1.0,4210661.345398349,289.7991666666667,0.0,0.0,0.0,0.0,0.0,771.7852951201395
140,0.7322399999999999,1.0,1.0,4210661.345398349,289.7991666666667,0.0,0.0,0.0,0.0,0.0,776.2420260906766
141,0.7322399999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,779.9059823736936
142,0.7322399999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,781.6669970583531
143,0.7322399999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,781.1842153054262
144,0.7322399999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,780.627314560765
