case_id,scenario,point_id,total_cost_usd,quantity_weighted_mean_delivery_time_h,source_seeds
D1,seattle_tacoma_departure_delay_72h,66,27303158.537869222,606.6022720304636,20260923
D1,seattle_tacoma_port_capacity_50pct,1,24842445.19812098,660.4667559181308,20260906
D1,seattle_tacoma_port_capacity_50pct,2,24848650.87177561,660.0019607945736,20260906
D1,seattle_tacoma_port_capacity_50pct,3,24883568.201326527,658.6343352527729,20260906
D1,seattle_tacoma_port_capacity_50pct,4,24888497.304555107,653.2299622158317,20260906
D1,seattle_tacoma_port_capacity_50pct,5,24952312.852573715,653.0169489543077,20260906
D1,seattle_tacoma_port_capacity_50pct,6,24988661.712288722,651.8252915182069,20260906
D1,seattle_tacoma_port_capacity_50pct,7,25015801.614312228,651.7410650440858,20260906
D1,seattle_tacoma_port_capacity_50pct,8,25027305.75699999,648.6471827837831,20260906
D1,seattle_tacoma_port_capacity_50pct,9,25048405.284625843,647.9674761935964,20260906
D1,seattle_tacoma_port_capacity_50pct,10,25145924.420690563,647.4400488001354,20260906
D1,seattle_tacoma_port_capacity_50pct,11,25150426.31195558,646.7272102563984,20260906
D1,seattle_tacoma_port_capacity_50pct,12,25154848.34343224,646.6180078702163,20260906
D1,seattle_tacoma_port_capacity_50pct,13,25177392.60003796,645.9118055369357,20260933
D1,seattle_tacoma_port_capacity_50pct,14,25183901.81765151,644.1530559632971,20260923
D1,seattle_tacoma_port_capacity_50pct,15,25195300.396754384,644.1155008779716,20260923
D1,seattle_tacoma_port_capacity_50pct,16,25213844.15011067,643.8694508795252,20260933
D1,seattle_tacoma_port_capacity_50pct,17,25221481.169953357,642.4337207184383,20260932
D1,seattle_tacoma_port_capacity_50pct,18,25245563.86645435,640.9869864564172,20260912
D1,seattle_tacoma_port_capacity_50pct,19,25296118.36958161,638.6596958843554,20260912
D1,seattle_tacoma_port_capacity_50pct,20,25313310.103698507,638.1804410406907,20260932
D1,seattle_tacoma_port_capacity_50pct,21,25373170.16865519,637.603351320569,20260912
D1,seattle_tacoma_port_capacity_50pct,22,25381113.971172906,637.462174937037,20260932
D1,seattle_tacoma_port_capacity_50pct,23,25412277.976145215,637.3194423787354,20260932
D1,seattle_tacoma_port_capacity_50pct,24,25412396.694947865,637.3121527390931,20260912
D1,seattle_tacoma_port_capacity_50pct,25,25412552.53586355,636.2742574455212,20260932
D1,seattle_tacoma_port_capacity_50pct,26,25477489.42523127,636.0770864938119,20260912
D1,seattle_tacoma_port_capacity_50pct,27,25487990.91266626,635.4987189178859,20260932
D1,seattle_tacoma_port_capacity_50pct,28,25511794.069225244,635.385771678844,20260912
D1,seattle_tacoma_port_capacity_50pct,29,25512405.61914239,635.1958254120451,20260912
D1,seattle_tacoma_port_capacity_50pct,30,25520009.66088834,635.0912322279218,20260912
D1,seattle_tacoma_port_capacity_50pct,31,25530175.039977346,634.3162187577074,20260912
D1,seattle_tacoma_port_capacity_50pct,32,25534679.101430047,634.2467667372729,20260912
D1,seattle_tacoma_port_capacity_50pct,33,25571105.24786311,634.0019876096361,20260932
D1,seattle_tacoma_port_capacity_50pct,34,25588168.39353081,633.7394485510819,20260932
D1,seattle_tacoma_port_capacity_50pct,35,25589599.156443063,633.6585786905,20260912
D1,seattle_tacoma_port_capacity_50pct,36,25606115.69696911,633.477243524744,20260912
D1,seattle_tacoma_port_capacity_50pct,37,25608682.029926307,633.3881903918789,20260912
D1,seattle_tacoma_port_capacity_50pct,38,25619704.380212445,633.305472433005,20260927
D1,seattle_tacoma_port_capacity_50pct,39,25630303.21725872,633.1538114376112,20260932
D1,seattle_tacoma_port_capacity_50pct,40,25632437.050621632,633.1062400407546,20260912
D1,seattle_tacoma_port_capacity_50pct,41,25637883.522405136,632.4363962140179,20260912
D1,seattle_tacoma_port_capacity_50pct,42,25663193.9963302,632.3481515333553,20260932
D1,seattle_tacoma_port_capacity_50pct,43,25689245.819080215,632.1039281575665,20260932
D1,seattle_tacoma_port_capacity_50pct,44,25690957.30946771,631.1828970683052,20260912
D1,seattle_tacoma_port_capacity_50pct,45,25702106.96553333,631.1226613497582,20260912
D1,seattle_tacoma_port_capacity_50pct,46,25721284.12020118,630.8132637265082,20260932
D1,seattle_tacoma_port_capacity_50pct,47,25742052.779472794,630.2527356495924,20260912
D1,seattle_tacoma_port_capacity_50pct,48,25781620.233055748,630.1124616298766,20260912
D1,seattle_tacoma_port_capacity_50pct,49,25782069.58653237,629.0165537528575,20260932
D1,seattle_tacoma_port_capacity_50pct,50,25784411.552524347,628.929771282216,20260932
D1,seattle_tacoma_port_capacity_50pct,51,25850159.04732197,628.6040771836915,20260932
D1,seattle_tacoma_port_capacity_50pct,52,25874523.312749244,627.7748981606636,20260927
D1,seattle_tacoma_port_capacity_50pct,53,25887881.881216742,627.5799754051783,20260912
D1,seattle_tacoma_port_capacity_50pct,54,25947772.611799456,627.1956124114544,20260919
D1,seattle_tacoma_port_capacity_50pct,55,25960495.03648061,627.1248792493246,20260919
D1,seattle_tacoma_port_capacity_50pct,56,25960787.670548104,626.3455665972414,20260919
D1,seattle_tacoma_port_capacity_50pct,57,25978071.889775064,626.0830615249329,20260932
D1,seattle_tacoma_port_capacity_50pct,58,26012100.002830815,625.5983008306623,20260919
D1,seattle_tacoma_port_capacity_50pct,59,26035957.91802891,625.3908509426325,20260919
D1,seattle_tacoma_port_capacity_50pct,60,26041528.754809827,625.1327766265262,20260927
